i    name
 0         =
 1         +
 2         -
 3         *
 4         /
 5         =
 6         !
 7         <
 8         (
 9         )
10         {
11         }
12         ,
13         ;
14         _
15         a
16         b
17         c
18         d
19         e
20         f
21         g
22         h
23         i
24         j
25         k
26         l
27         m
28         n
29         o
30         p
31         q
32         r
33         s
34         t
35         u
36         v
37         w
38         x
39         y
40         z
41         A
42         B
43         C
44         D
45         E
46         F
47         G
48         H
49         I
50         J
51         K
52         L
53         M
54         N
55         O
56         P
57         Q
58         R
59         S
60         T
61         U
62         V
63         W
64         X
65         Y
66         Z
67         0
68         1
69         2
70         3
71         4
72         5
73         6
74         7
75         8
76         9
